parcel;0;1;2;3;4;5
L_FA;0.18;0.23;1.26;0.0;0.85;1.25
L_FB;0.22;0.16;1.2;0.03;0.5;1.37
L_FC;0.25;0.15;1.0;0.15;0.5;0.25
L_FCBm;0.24;0.18;1.0;0.17;0.43;0.95
L_FD;0.2;0.19;0.8;0.24;0.45;0.9
L_FDdelta;0.26;0.2;0.81;0.25;0.35;0.78
L_FDT;0.21;0.14;0.91;0.22;0.39;0.7
L_FE;0.22;0.15;0.6;0.3;0.4;0.7
L_FF;0.3;0.1;1.0;0.05;0.62;0.87
L_FG;0.2;0.16;0.32;0.18;0.35;0.8
L_FH;0.22;0.11;0.68;0.15;0.42;0.8
L_FJK;0.28;0.08;1.8;0.05;0.62;1.06
L_IA;0.23;0.1;0.7;0.15;0.65;1.2
L_IB;0.3;0.2;0.8;0.3;0.5;0.7
L_LA1;0.27;0.0;0.6;0.0;0.65;0.75
L_LA2;0.27;0.0;0.82;0.0;0.8;0.94
L_LC1;0.24;0.23;0.65;0.24;0.41;0.52
L_LC2;0.25;0.18;0.52;0.24;0.44;0.8
L_LC3;0.27;0.0;0.85;0.0;0.5;0.6
L_LD;0.3;0.0;0.8;0.0;0.6;0.5
L_OA;0.18;0.23;0.6;0.2;0.35;0.61
L_OB;0.15;0.18;0.45;0.18;0.22;0.43
L_OC;0.19;0.12;0.27;0.8;0.27;0.45
L_PA;0.23;0.2;0.65;0.25;0.15;0.6
L_PB;0.25;0.3;0.45;0.3;0.2;0.5
L_PC;0.22;0.23;0.9;0.35;0.4;1.1
L_PD;0.21;0.2;0.65;0.2;0.3;0.4
L_PE;0.18;0.2;0.7;0.4;0.4;0.9
L_PF;0.25;0.32;1.0;0.4;0.45;1.0
L_PG;0.22;0.2;0.8;0.35;0.55;1.2
L_PH;0.2;0.22;0.9;0.22;0.65;0.65
L_TA;0.22;0.1;0.95;0.18;0.5;0.9
L_TB;0.23;0.2;0.9;0.35;0.4;0.8
L_TC;0.26;0.3;0.7;0.55;0.5;0.6
L_TD;0.2;0.23;0.8;0.35;0.5;0.75
L_TE;0.25;0.15;0.75;0.24;0.8;1.4
L_TF;0.25;0.2;1.0;0.2;0.5;0.75
L_TG;0.3;0.08;1.2;0.15;0.8;1.5